,,,,,,Game and Vegas,,,,,,,Proj. Passing Stats,,,,,Proj. Rushing Stats,,,,,Proj. Receiving Stats,,,,,Proj. Defensive Stats,,,,,,Proj. Fantasy Pts,,,Projected Values,,,,,,,,,Position Rankings,,,Overall Rankings,,,Passing Stat Avgs,,,,,,,Rushing Stat Avgs,,,Receiving Stat Avgs,,,,Defense Stat Avgs,,,,,,
Baker Mayfield,,0,QB,QB1,5500,TB,vs CAR,2,20.75,6.5,11,16.8,1,38.08,273.94,1.79,0.95,0.1762,4.02,14.14,0.08,4.02,0,0,0,0,0,0,0,0,0,0,0,19.06,19.06,0,9.31,32.06,19.06,19.06,0,100,,59,3.5,16,12,12,33,24,24,31.8,19.66,227.42,0.86,2.36,1.43,88.24,2.81,9.8,0.07,0.02,0.01,0.2,,,,,,,,
Alvin Kamara,,0,RB,RB1,8200,NO,vs DET,11,21.25,10.5,14.8,19.9,0,0,0,0,0,0.4733,11.61,50.36,0.43,18.43,0.2192,6.82,5.46,45.75,0.22,0,0,0,0,0,0,18.97,18.97,0,3.22,39.97,18.97,18.97,0,100,,48,2.3,3,6,6,7,25,25,0.01,0.01,0.13,,,,1.41,12.95,57.37,0.54,6.4,5.03,42.57,0.24,,,,,,,
Kyler Murray,,0,QB,QB1,7000,ARI,@ PIT,11,18.25,8.4,19.9,20.5,1,35.07,235.67,1.22,0.72,0.1842,4.87,28.45,0.41,4.87,0,0,0,0,0,0,0,0,0,0,0,18.89,18.89,0,6.29,35.69,18.89,18.89,0,100,,62,2.7,7,13,13,18,26,26,34.63,23.03,242.78,0.72,2.33,1.43,93.72,6.58,38.17,0.43,,,0.12,,,,,,,,
Nico Collins,,0,WR,WR1,6800,HOU,vs DEN,10,25.25,7.9,9.7,16.9,0,0,0,0,0,0,0,0,0,10.07,0.2489,10.07,6.39,93.79,0.51,0,0,0,0,0,0,18.83,18.83,0,6.98,34.63,18.83,18.83,0,100,,23,2.8,16,8,8,20,27,27,,,,,,,,,,,5.88,3.53,50.79,0.24,,,,,,,
Jahmyr Gibbs,,0,RB,RB2,6700,DET,@ NO,22,25.25,9,0,17.6,0,0,0,0,0,0.4216,12.1,63.61,0.61,18.67,0.1598,6.57,5.13,35.6,0,0,0,0,0,0,0,18.71,18.71,0,5.21,36.71,18.71,18.71,0,100,,49,2.8,10,7,7,21,28,28,,,,,,,,12.11,62.89,0.56,5.78,4.56,30.89,,,,,,,,
A.J. Brown,,0,WR,WR1,8800,PHI,vs SF,29,22.75,10.8,18.6,21.6,0,0,0,0,0,0,0,0,0,9.14,0.3163,9.14,5.88,87.25,0.65,0,0,0,0,0,0,18.51,18.51,0,2.31,40.11,18.51,18.51,0,100,,36,2.1,4,9,9,4,29,29,0.03,,,,,,1.07,0.08,1.07,0.01,7.51,4.74,75.72,0.57,,,,,,,
Jordan Love,,0,QB,QB1,5800,GB,vs KC,14,18.25,9.2,2.9,19.2,1,30.54,226.68,1.63,0.84,0.1895,4.64,25.07,0.2,4.64,0,0,0,0,0,0,0,0,0,0,0,18.45,18.45,0,4.65,36.85,18.45,18.45,0,100,,22,3.2,13,14,14,30,30,30,21.67,13.1,152.62,0.62,1.19,1.05,79.94,2.38,11.76,0.1,,,,,,,,,,,
Gardner Minshew,,0,QB,QB1,5300,IND,@ TEN,10,21.75,8.3,8.8,12.9,1,37.69,267.37,1.35,0.78,0.1213,3.73,13.16,0.3,3.73,0,0,0,0,0,0,0,0,0,0,0,18.43,18.43,0,5.98,35.03,18.43,18.43,0,100,,46,3.5,18,15,15,35,31,31,30,18.85,209.85,0.54,2.15,1.27,87.76,3.22,13.93,0.12,0.02,0.02,,,,,,,,,
Travis Kelce,,0,TE,TE1,8000,KC,@ GB,12,24.25,9,19.7,17.8,0,0,0,0,0,0,0,0,0,9.32,0.2784,9.32,6.79,80.64,0.58,0,0,0,0,0,0,18.33,18.33,0,4.83,36.33,18.33,18.33,0,100,,48,2.3,1,1,1,9,32,32,0.02,0.01,0.03,0.01,,,0.85,0.06,0.11,0.01,8.34,5.97,74.41,0.51,,,,,,,
De'Von Achane,,0,RB,RB2,6900,MIA,@ WAS,8,29.25,19.7,0,22.6,0,0,0,0,0,0.3165,8.51,71.96,0.73,11.82,0.0851,3.31,2.67,18.76,0.34,0,0,0,0,0,0,18.16,18.16,0,0,57.56,18.16,18.16,0,100,,13,2.6,8,8,8,19,33,33,,,,,,,,7.8,92.2,1,2.4,2,14.2,0.4,,,,,,,
Derrick Henry,,0,RB,RB1,6800,TEN,vs IND,31,20.75,11.8,20.8,14.3,0,0,0,0,0,0.6828,20.19,94.16,0.82,22.61,0.0794,2.42,1.9,16.72,0.03,0,0,0,0,0,0,18.09,18.09,0,0.39,41.69,18.09,18.09,0,100,,29,2.7,9,9,9,20,34,34,0.08,0.06,0.24,,,0.03,11.43,17.4,82.8,0.74,1.74,1.35,12.63,0.03,,,,,,,
Kyren Williams,,0,RB,RB1,7200,LAR,vs CLE,25,21.75,12.4,3.8,22.6,0,0,0,0,0,0.5725,15.93,84.71,0.65,18.86,0.0849,2.93,1.99,17.15,0.28,0,0,0,0,0,0,17.76,17.76,0,0,42.56,17.76,17.76,0,100,,2,2.5,5,10,10,16,35,35,,,,,,,,9.87,49.2,0.4,2.8,1.87,16.13,0.2,,,,,,,
Brandon Aiyuk,,0,WR,WR2,7200,SF,@ PHI,26,24.75,7.8,13.6,17.5,0,0,0,0,0,0,0,0,0,7.9,0.2618,7.9,5.31,86.98,0.61,0,0,0,0,0,0,17.67,17.67,0,5.97,33.27,17.67,17.67,0,100,,43,2.5,12,10,10,16,36,36,,,,,,,,0.23,2.09,0.04,6.43,4.27,61.96,0.41,,,,,,,
Jake Browning,,0,QB,QB1,5100,CIN,@ JAC,30,15.25,5.7,0,7.9,1,32.43,244.23,1.55,0.8,0.1794,3.72,18.06,0.09,3.72,0,0,0,0,0,0,0,0,0,0,0,17.52,17.52,0,8.97,28.92,17.52,17.52,0,100,,28,3.4,20,16,16,37,37,37,13.67,9,98.33,0.33,2.33,0.67,64.03,2.67,16,,,,,,,,,,,,
Jaylen Waddle,,0,WR,WR2,7600,MIA,@ WAS,32,29.25,8.8,16.4,14.6,0,0,0,0,0,0,0,0,0,9.29,0.239,9.29,6.46,84.19,0.42,0,0,0,0,0,0,17.4,17.4,0,4.2,35,17.4,17.4,0,100,,44,2.3,9,11,11,13,38,38,,,,,,,,0.16,0.91,0.02,7.72,5.37,71.21,0.4,,,,,,,
Adam Thielen,,0,WR,WR1,6600,CAR,@ TB,30,15.75,10.1,10.6,16.9,0,0,0,0,0,0,0,0,0,9.93,0.288,9.93,6.95,72.41,0.52,0,0,0,0,0,0,17.31,17.31,0,2.16,37.51,17.31,17.31,0,100,,29,2.6,17,12,12,22,39,39,,,,,,,,0.18,1.41,0.01,7.02,4.88,59.02,0.45,,,,,,,
Travis Etienne,!,0,RB,RB1,7000,JAC,vs CIN,26,23.25,9.3,13.1,17.7,0,0,0,0,0,0.7036,18.05,74.9,0.53,22.42,0.1209,4.37,3.29,28.92,0.07,0,0,0,0,0,0,17.27,17.27,0,3.32,35.87,17.27,17.27,0,100,,38,2.5,7,11,11,18,40,40,,,,,,,,14.79,66.11,0.43,3.32,2.54,22.43,0.04,,,,,,,
Matthew Stafford,,0,QB,QB1,5900,LAR,vs CLE,3,21.75,7.1,13.6,16.3,1,34.57,261.78,1.68,0.77,0.0641,1.78,6.35,0.02,1.78,0,0,0,0,0,0,0,0,0,0,0,17.18,17.18,0,6.53,31.38,17.18,17.18,0,100,,61,2.9,12,17,17,29,41,41,35.22,23.09,264.5,0.74,2.45,1.72,96.76,1.98,6.81,0.03,0.02,0.01,-0.05,,,,,,,,
Marquise Brown,!,0,WR,WR1,5200,ARI,@ PIT,27,18.25,7.6,13.3,11.2,0,0,0,0,0,0,0,0,0,10.76,0.3067,10.76,6.2,75.06,0.57,0,0,0,0,0,0,17.13,17.13,0,5.73,32.33,17.13,17.13,0,100,,39,3.3,30,13,13,36,42,42,,,,,,,,0.07,0.42,,7.48,4.51,53.1,0.39,,,,,,,
JaMarr Chase,,0,WR,WR1,8100,CIN,@ JAC,15,15.25,12.5,21.4,19.4,0,0,0,0,0,0,0,0,0,8.69,0.2679,8.69,5.71,73.17,0.58,0,0,0,0,0,0,16.51,16.51,0,0,41.51,16.51,16.51,0,100,,37,2,6,14,14,8,43,43,,,,,0.03,,,0.38,0.58,,9.35,6.08,85.38,0.7,,,,,,,
Chris Godwin,!,0,WR,WR2,6300,TB,vs CAR,5,20.75,9.3,15.4,11.5,0,0,0,0,0,0,0,0,0,9.35,0.2456,9.35,6.52,78.65,0.35,0,0,0,0,0,0,16.49,16.49,0,2.54,35.09,16.49,16.49,0,100,,35,2.6,20,15,15,25,44,44,0.01,,,,,,0.02,0.09,0.49,0.01,7.27,5.14,64.66,0.34,,,,,,,
Chris Olave,!,0,WR,WR1,6900,NO,vs DET,11,21.25,6,13.9,15.2,0,0,0,0,0,0,0,0,0,10.33,0.332,10.33,6.3,81.97,0.33,0,0,0,0,0,0,16.48,16.48,0,7.48,28.48,16.48,16.48,0,100,,59,2.4,15,16,16,19,45,45,,,,,,,,,,,8.54,5.19,69.73,0.27,,,,,,,
Courtland Sutton,,0,WR,WR1,5400,DEN,@ HOU,13,22.25,6.6,10.8,13.5,0,0,0,0,0,0,0,0,0,8.74,0.2594,8.74,5.36,70.3,0.6,0,0,0,0,0,0,15.99,15.99,0,6.09,29.19,15.99,15.99,0,100,,40,3,29,17,17,34,46,46,0.03,0.03,0.7,,,,4.71,0.06,0.27,,6.43,3.78,53.04,0.29,,,,,,,
Puka Nacua,,0,WR,WR2,7000,LAR,vs CLE,8,21.75,10.3,0,17.9,0,0,0,0,0,0,0,0,0,9.67,0.2798,9.67,6.14,77.66,0.3,0,0,0,0,0,0,15.71,15.71,0,0.26,36.31,15.71,15.71,0,100,,42,2.2,14,18,18,18,47,47,,,,,,,,0.27,1,,10.09,6.64,84,0.27,,,,,,,
Rachaad White,,0,RB,RB1,6300,TB,vs CAR,24,20.75,6.7,9.1,15.2,0,0,0,0,0,0.6282,14.35,52.52,0.32,19,0.122,4.65,4.25,32.57,0.14,0,0,0,0,0,0,15.52,15.52,0,5.47,28.92,15.52,15.52,0,100,,42,2.5,14,12,12,25,48,48,,,,,,,,10.56,38.52,0.19,3.85,3.44,24.22,0.11,,,,,,,
Cooper Kupp,,0,WR,WR1,7800,LAR,vs CLE,8,21.75,10.6,24.2,11.5,0,0,0,0,0,0,0,0,0,8.22,0.2378,8.22,5.58,69.67,0.45,0,0,0,0,0,0,15.25,15.25,0,0,36.45,15.25,15.25,0,100,,42,2,7,19,19,11,49,49,0.05,,,,,,1.37,0.26,1.5,0.01,8.65,6.17,77.17,0.55,,,,,,,
Javonte Williams,,0,RB,RB1,5700,DEN,@ HOU,14,22.25,6.4,10.7,10.7,0,0,0,0,0,0.6174,16.08,64.85,0.1,21.08,0.1483,5,3.91,22.23,0.33,0,0,0,0,0,0,15.2,15.2,0,5.6,28,15.2,15.2,0,100,,45,2.7,20,13,13,31,50,50,,,,,,,,12.58,53.06,0.13,3.52,2.74,16.87,0.16,,,,,,,
Joe Mixon,,0,RB,RB1,6200,CIN,@ JAC,4,15.25,9.3,17.3,13.5,0,0,0,0,0,0.7764,16.09,64.46,0.49,19.48,0.1044,3.39,2.81,19.83,0.11,0,0,0,0,0,0,14.84,14.84,0,0.89,33.44,14.84,14.84,0,100,,41,2.4,15,14,14,26,51,51,,,,,,,,16.21,65.92,0.48,3.54,2.9,21.92,0.12,,,,,,,
James Conner,,0,RB,RB1,5800,ARI,@ PIT,5,18.25,10.3,15.7,10.7,0,0,0,0,0,0.5031,13.31,58.8,0.53,16.97,0.1045,3.66,3,21.34,0.1,0,0,0,0,0,0,14.79,14.79,0,0,35.39,14.79,14.79,0,100,,27,2.6,19,15,15,30,52,52,,,,,,,,12.15,51.92,0.55,3.19,2.63,19.93,0.1,,,,,,,
Geno Smith,,0,QB,QB1,5400,SEA,@ DAL,13,19.25,8.7,19.5,14.7,1,28.07,212.78,1.24,0.61,0.2338,4.11,16.84,0.04,4.11,0,0,0,0,0,0,0,0,0,0,0,14.79,14.79,0,1.74,32.19,14.79,14.79,0,100,,38,2.7,17,18,18,34,52,52,26.88,18.12,195.45,0.52,2.31,1.21,87.96,2.93,13.07,0.05,0.02,0.02,-0.05,,,,,,,,
Isiah Pacheco,,0,RB,RB1,6500,KC,@ GB,20,24.25,6.7,8.2,14.1,0,0,0,0,0,0.6836,15.7,69.55,0.52,18.54,0.085,2.84,2.51,17.51,0.07,0,0,0,0,0,0,14.76,14.76,0,4.71,28.16,14.76,14.76,0,100,,37,2.3,12,16,16,23,53,53,,,,,,,,11.71,53.54,0.36,1.71,1.54,11.64,0.04,,,,,,,
Amari Cooper,!,0,WR,WR1,5700,CLE,@ LAR,18,18.75,10.7,15.4,13.1,0,0,0,0,0,0,0,0,0,8.88,0.2662,8.88,5.37,74.64,0.32,0,0,0,0,0,0,14.75,14.75,0,0,36.15,14.75,14.75,0,100,,26,2.6,26,20,20,31,54,54,0.01,,,0.01,,,,0.11,0.3,,7.62,4.68,65.44,0.42,,,,,,,
Sam LaPorta,,0,TE,TE1,5600,DET,@ NO,23,25.25,5.5,0,13,0,0,0,0,0,0,0,0,0,8.2,0.1993,8.2,5.79,54.84,0.57,0,0,0,0,0,0,14.69,14.69,0,6.44,25.69,14.69,14.69,0,100,,58,2.6,3,2,2,32,55,55,,,,,,,,,,,7,5,49,0.45,,,,,,,
Kenny Pickett,,0,QB,QB1,5100,PIT,vs ARI,29,23.25,4.4,12.4,10.1,1,37.04,244.16,0.97,0.46,0.1341,3.73,8.48,0.11,3.73,0,0,0,0,0,0,0,0,0,0,0,14.69,14.69,0,8.09,23.49,14.69,14.69,0,100,,61,2.9,20,19,19,37,55,55,29.29,18.29,183.5,0.54,0.96,0.54,37.11,3.92,12,0.17,,,,,,,,,,,
D'Andre Swift,,0,RB,RB1,6600,PHI,vs SF,9,22.75,7.5,13.9,15.1,0,0,0,0,0,0.4583,12.94,60.3,0.47,16.63,0.1275,3.69,2.98,20.49,0.11,0,0,0,0,0,0,14.54,14.54,0,3.29,29.54,14.54,14.54,0,100,,50,2.2,11,17,17,22,56,56,0.02,,,,,,0.78,10.29,48.04,0.43,4.78,3.73,27.43,0.16,,,,,,,
George Kittle,,0,TE,TE1,6200,SF,@ PHI,26,24.75,9.7,13.6,13.5,0,0,0,0,0,0,0,0,0,6.59,0.2183,6.59,4.79,66.25,0.52,0,0,0,0,0,0,14.54,14.54,0,0,33.94,14.54,14.54,0,100,,29,2.3,2,3,3,26,56,56,,,,,,,,0.13,0.74,,6.49,4.68,62.42,0.38,,,,,,,
Derek Carr,,0,QB,QB1,5600,NO,vs DET,31,21.25,7.6,15.9,14.1,1,31.11,220.32,1.41,0.58,0.0665,1.63,4.68,0.03,1.63,0,0,0,0,0,0,0,0,0,0,0,14.52,14.52,0,3.12,29.72,14.52,14.52,0,100,,55,2.6,15,20,20,32,57,57,34.53,22.6,251.72,0.67,1.92,1.5,93.98,1.96,5.78,0.04,0.01,0.01,-0.07,,,,,,,,
DeVonta Smith,,0,WR,WR2,7300,PHI,vs SF,29,22.75,8.5,15.9,15,0,0,0,0,0,0,0,0,0,7.51,0.2597,7.51,5.28,66.91,0.41,0,0,0,0,0,0,14.43,14.43,0,1.68,31.43,14.43,14.43,0,100,,39,2,11,21,21,15,58,58,,,,,,,,,,,7.02,4.76,63.33,0.38,,,,,,,
Calvin Ridley,,0,WR,WR1,6400,JAC,vs CIN,7,23.25,9.8,0,14.3,0,0,0,0,0,0,0,0,0,7.39,0.2043,7.39,4.78,64,0.49,0,0,0,0,0,0,14.12,14.12,0,0,33.72,14.12,14.12,0,100,,38,2.2,19,22,22,24,59,59,,,,,,,,0.3,1.5,,7.6,4.92,66.75,0.55,,,,,,,
Deebo Samuel,,0,WR,WR1,6200,SF,@ PHI,26,24.75,8.7,13.3,13.6,0,0,0,0,0,0.0925,2.81,17.54,0.32,8.47,0.1875,5.66,3.79,54.73,0.18,0,0,0,0,0,0,14.02,14.02,0,0.97,31.42,14.02,14.02,0,100,,44,2.3,21,23,23,26,60,60,0.05,0.02,0.38,,,0.02,3.17,2.46,16.22,0.27,6.46,4.24,60.81,0.21,,,,,,,
Jerry Jeudy,,0,WR,WR2,4700,DEN,@ HOU,13,22.25,7.5,14.2,8.7,0,0,0,0,0,0,0,0,0,8.33,0.2472,8.33,5.29,70.94,0.26,0,0,0,0,0,0,13.94,13.94,0,2.69,28.94,13.94,13.94,0,100,,31,3,35,24,24,41,61,61,,,,,,,,0.12,0.84,,6.31,3.8,53.63,0.2,,,,,,,
Rhamondre Stevenson,,0,RB,RB1,6000,NE,vs LAC,17,17.75,8,15.1,13,0,0,0,0,0,0.5825,12.08,53.57,0.33,17.61,0.1642,5.53,4.08,23.73,0.01,0,0,0,0,0,0,13.85,13.85,0,1.85,29.85,13.85,13.85,0,100,,38,2.3,17,18,18,28,62,62,,,,,,,,12.25,55.63,0.35,3.93,3,19.55,0.03,,,,,,,
